dataset,key,rouge-1(F/R/P),rouge-2(F/R/P),rouge-l(F/R/P)
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,30.5/53.21/20.73,10.17/17.95/7.25,28.99/50.58/20.73
paper/173,tf_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,28.14/48.81/19.11,8.73/15.26/6.25,26.66/46.21/19.11
paper/173,idf_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,27.76/48.39/18.76,8.09/14.22/5.78,26.21/45.67/18.76
paper/173,smi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,31.42/55.26/21.13,9.89/17.6/7.04,29.62/52.05/21.13
paper/173,dsmi_simplification_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,28.49/49.92/19.24,9.98/17.68/7.11,26.94/47.22/19.24
paper/173,dsmi_diversity_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,34.68/60.4/23.48,11.58/20.43/8.26,32.77/57.01/23.48
paper/173,dsmi_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,29.97/52.57/20.24,10.11/17.92/7.21,28.32/49.63/20.24
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.01_0.3_150_0.3,32.82/57.12/22.3,10.85/19.11/7.74,31.12/54.12/22.3
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.1_0.3_150_0.3,32.27/56.11/22.0,10.79/18.92/7.71,30.71/53.37/22.0
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.2_0.3_150_0.3,31.24/54.47/21.25,10.32/18.23/7.35,29.7/51.79/21.25
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.5_0.3_150_0.3,29.15/51.02/19.8,9.45/16.68/6.74,27.68/48.44/19.8
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.7_0.3_150_0.3,28.41/49.59/19.29,9.42/16.65/6.72,26.95/47.03/19.29
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.9_0.3_150_0.3,27.55/48.12/18.57,9.04/15.94/6.46,25.94/45.28/18.57
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_1.0_0.3_150_0.3,27.29/47.78/18.39,8.91/15.75/6.35,25.73/45.02/18.39
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.01_150_0.3,28.57/50.1/19.29,9.96/17.64/7.09,27.01/47.35/19.29
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.1_150_0.3,29.45/51.45/19.91,10.18/18.01/7.26,27.84/48.63/19.91
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.2_150_0.3,29.89/52.19/20.31,10.11/17.82/7.21,28.41/49.61/20.31
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.5_150_0.3,30.75/53.56/20.89,9.78/17.21/6.98,29.2/50.82/20.89
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.7_150_0.3,30.4/52.92/20.66,9.23/16.23/6.59,28.83/50.16/20.66
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.9_150_0.3,29.1/50.82/19.81,8.06/14.28/5.75,27.69/48.37/19.81
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_50_0.3,35.3/33.6/36.03,10.46/9.93/11.57,32.76/31.13/36.03
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_100_0.3,34.25/46.31/26.27,10.74/14.62/8.73,32.24/43.57/26.27
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_120_0.3,32.68/49.31/23.7,10.43/15.88/7.97,30.91/46.64/23.7
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_-0.3,30.46/53.38/20.67,10.2/18.13/7.25,28.93/50.69/20.67
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_-0.5,30.38/53.1/20.62,10.13/17.91/7.23,28.83/50.35/20.62
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_-0.8,30.02/52.4/20.35,10.15/18.03/7.22,28.45/49.64/20.35
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.1,30.53/53.2/20.73,10.19/17.98/7.27,28.95/50.44/20.73
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.5,30.49/53.04/20.78,10.13/17.79/7.24,29.0/50.45/20.78
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.8,30.32/52.82/20.69,10.06/17.69/7.19,28.88/50.31/20.69
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,19.04/67.85/10.81,7.51/27.05/4.47,18.25/65.11/10.81
cnn/200,tf_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,18.51/66.13/10.49,7.23/26.17/4.24,17.79/63.64/10.49
cnn/200,idf_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,18.65/66.45/10.59,7.09/25.77/4.17,17.95/64.06/10.59
cnn/200,smi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,19.98/71.0/11.31,7.75/27.89/4.62,19.07/67.85/11.31
cnn/200,dsmi_simplification_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,19.16/68.11/10.91,7.72/27.87/4.6,18.36/65.32/10.91
cnn/200,dsmi_diversity_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,20.24/72.25/11.51,8.09/29.37/4.8,19.44/69.47/11.51
cnn/200,dsmi_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,19.52/69.53/11.08,7.83/28.13/4.65,18.7/66.65/11.08
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.01_0.3_150_0.3,19.76/70.32/11.21,7.76/27.85/4.62,18.91/67.39/11.21
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.1_0.3_150_0.3,19.36/68.81/10.98,7.57/27.14/4.51,18.52/65.93/10.98
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.2_0.3_150_0.3,19.14/68.12/10.87,7.53/27.14/4.48,18.34/65.36/10.87
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.5_0.3_150_0.3,18.9/67.16/10.72,7.38/26.5/4.4,18.08/64.35/10.72
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.7_0.3_150_0.3,18.84/67.28/10.6,7.42/26.87/4.36,17.98/64.29/10.6
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.9_0.3_150_0.3,18.73/67.0/10.55,7.38/26.74/4.33,17.9/64.1/10.55
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_1.0_0.3_150_0.3,18.69/66.99/10.53,7.31/26.55/4.29,17.87/64.15/10.53
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.01_150_0.3,19.12/68.02/10.86,7.68/27.74/4.57,18.31/65.21/10.86
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.1_150_0.3,19.14/68.19/10.84,7.7/27.92/4.58,18.29/65.28/10.84
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.2_150_0.3,19.25/68.47/10.93,7.74/27.91/4.61,18.44/65.66/10.93
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.5_150_0.3,18.88/67.15/10.75,7.32/26.4/4.36,18.12/64.58/10.75
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.7_150_0.3,18.97/67.45/10.8,7.29/26.24/4.34,18.21/64.87/10.8
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.9_150_0.3,18.63/65.92/10.59,7.07/25.34/4.21,17.84/63.24/10.59
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_50_0.3,26.68/45.2/18.3,9.31/15.87/6.76,25.18/42.6/18.3
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_100_0.3,21.81/59.51/12.96,8.09/22.39/5.05,20.77/56.69/12.96
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_120_0.3,20.4/63.15/11.83,7.76/24.28/4.73,19.48/60.35/11.83
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_-0.3,19.25/68.5/10.93,7.69/27.67/4.57,18.43/65.7/10.93
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_-0.5,19.33/68.86/10.96,7.75/27.88/4.61,18.5/65.95/10.96
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_-0.8,19.07/67.84/10.83,7.7/27.64/4.58,18.27/65.05/10.83
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.1,19.12/68.22/10.87,7.62/27.45/4.53,18.33/65.48/10.87
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.5,19.04/67.91/10.8,7.49/26.93/4.46,18.22/65.06/10.8
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.8,19.09/67.89/10.84,7.52/27.02/4.48,18.28/65.09/10.84
legal/50,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,17.81/26.65/23.83,4.04/8.08/5.32,17.38/25.92/23.83
legal/50,tf_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,17.44/26.53/23.44,3.85/7.74/5.13,16.96/25.77/23.44
legal/50,idf_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,16.7/25.63/21.98,3.38/7.21/4.49,16.16/24.98/21.98
legal/50,smi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,17.42/27.58/22.62,3.9/7.65/4.92,16.94/26.55/22.62
legal/50,dsmi_simplification_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,16.61/26.12/22.03,4.09/8.89/5.27,16.27/25.63/22.03
legal/50,dsmi_diversity_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,19.59/31.57/25.7,4.9/11.13/6.08,19.09/30.75/25.7
legal/50,dsmi_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,17.79/27.26/23.77,4.15/8.26/5.23,17.32/26.64/23.77
legal/50,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.01_0.3_150_0.3,18.91/28.91/25.05,4.5/8.35/5.76,18.31/27.83/25.05
legal/50,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.1_0.3_150_0.3,18.61/28.46/24.75,4.43/8.87/5.75,18.04/27.6/24.75
legal/50,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.2_0.3_150_0.3,18.33/27.87/24.13,4.34/8.62/5.62,17.84/27.02/24.13
legal/50,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.5_0.3_150_0.3,17.62/26.46/23.63,4.05/8.09/5.5,17.13/25.58/23.63
legal/50,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.7_0.3_150_0.3,17.32/25.76/23.23,3.99/8.07/5.33,16.94/25.11/23.23
legal/50,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.9_0.3_150_0.3,16.87/25.82/22.69,3.85/8.5/5.06,16.53/25.26/22.69
legal/50,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_1.0_0.3_150_0.3,16.6/25.65/22.11,3.83/8.57/5.01,16.26/25.16/22.11
legal/50,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.01_150_0.3,16.5/26.04/21.9,4.04/8.84/5.24,16.14/25.53/21.9
legal/50,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.1_150_0.3,17.2/26.43/22.59,4.12/8.91/5.2,16.82/25.88/22.59
legal/50,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.2_150_0.3,17.85/27.26/23.59,4.33/9.09/5.58,17.47/26.71/23.59
legal/50,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.5_150_0.3,18.01/27.69/23.94,4.03/8.39/5.12,17.56/26.85/23.94
legal/50,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.7_150_0.3,18.02/27.23/23.87,3.83/7.88/4.64,17.57/26.29/23.87
legal/50,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.9_150_0.3,18.05/28.57/23.48,3.67/8.23/4.34,17.61/27.98/23.48
legal/50,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_50_0.3,13.34/13.11/29.34,2.89/3.03/6.17,12.96/12.55/29.34
legal/50,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_100_0.3,16.51/21.18/26.22,3.8/6.21/5.72,16.12/20.36/26.22
legal/50,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_120_0.3,17.56/24.67/25.4,4.08/7.71/5.71,17.12/23.99/25.4
legal/50,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_-0.3,17.61/27.2/22.9,4.09/8.98/5.03,17.18/26.63/22.9
legal/50,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_-0.5,17.11/26.22/22.44,4.04/8.99/4.97,16.68/25.61/22.44
legal/50,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_-0.8,16.18/26.41/20.79,3.65/8.69/4.28,15.84/25.88/20.79
legal/50,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.1,17.91/26.83/23.88,4.06/8.13/5.27,17.45/26.06/23.88
legal/50,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.5,18.08/27.36/24.17,4.29/8.64/5.58,17.64/26.62/24.17
legal/50,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.8,17.71/26.92/23.72,4.08/7.7/5.37,17.23/26.13/23.72
cnn/200,tf_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_100_0.3,20.65/56.51/12.26,7.42/20.6/4.58,19.75/54.09/12.26
cnn/200,idf_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_100_0.3,20.99/57.21/12.43,7.46/20.73/4.61,19.99/54.55/12.43
cnn/200,smi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_100_0.3,23.12/62.35/13.73,8.74/23.92/5.47,21.95/59.18/13.73
cnn/200,dsmi_simplification_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_100_0.3,21.7/59.19/12.92,8.12/22.55/5.08,20.67/56.39/12.92
cnn/200,dsmi_diversity_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_100_0.3,23.46/63.6/13.97,8.91/24.5/5.56,22.39/60.72/13.97
cnn/200,dsmi_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_100_0.3,22.68/61.56/13.44,8.61/23.66/5.38,21.53/58.49/13.44
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.01_0.3_100_0.3,22.94/62.09/13.61,8.52/23.33/5.34,21.8/59.08/13.61
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.1_0.3_100_0.3,22.56/60.9/13.41,8.33/22.86/5.21,21.45/57.93/13.41
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.2_0.3_100_0.3,22.17/60.2/13.15,8.26/22.76/5.17,21.05/57.17/13.15
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.5_0.3_100_0.3,21.37/58.42/12.69,7.82/21.76/4.88,20.35/55.67/12.69
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.7_0.3_100_0.3,21.22/58.09/12.53,7.76/21.58/4.79,20.17/55.24/12.53
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.9_0.3_100_0.3,21.22/58.05/12.48,7.75/21.55/4.78,20.11/55.08/12.48
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_1.0_0.3_100_0.3,20.97/57.37/12.35,7.58/21.08/4.67,19.89/54.47/12.35
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.01_100_0.3,21.62/59.09/12.85,8.08/22.48/5.04,20.59/56.29/12.85
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.1_100_0.3,21.77/59.48/12.95,8.17/22.76/5.1,20.75/56.69/12.95
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.2_100_0.3,21.97/59.91/13.04,8.27/22.91/5.16,20.91/57.07/13.04
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.5_100_0.3,21.43/58.4/12.74,7.78/21.58/4.86,20.41/55.64/12.74
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.7_100_0.3,21.63/58.84/12.86,7.8/21.57/4.88,20.61/56.06/12.86
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.9_100_0.3,21.38/58.14/12.72,7.67/21.21/4.79,20.38/55.44/12.72
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_100_-0.3,22.2/60.62/13.17,8.33/23.05/5.2,21.12/57.73/13.17
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_100_-0.5,22.2/60.34/13.16,8.47/23.3/5.3,21.09/57.36/13.16
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_100_-0.8,22.03/59.89/13.08,8.45/23.21/5.28,20.95/56.97/13.08
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_100_0.1,22.02/60.16/13.1,8.23/22.82/5.14,20.99/57.34/13.1
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_100_0.5,21.61/58.99/12.84,7.96/22.06/4.97,20.58/56.18/12.84
cnn/200,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_100_0.8,21.6/58.95/12.87,8.02/22.21/5.01,20.63/56.33/12.87
